filename,width,height,class,xmin,ymin,xmax,ymax
dfb64f7643621c58_jpg.rf.6d7c1e2211a4231104dae572f2c59781.jpg,1024,683,bus,180,204,820,544
6978605368d5cf8e_jpg.rf.6e52380f101afcad3662f379a1c48729.jpg,640,394,green_light,137,222,157,278
6978605368d5cf8e_jpg.rf.6e52380f101afcad3662f379a1c48729.jpg,640,394,green_light,266,238,283,294
6978605368d5cf8e_jpg.rf.6e52380f101afcad3662f379a1c48729.jpg,640,394,green_light,399,334,415,387
chrome_35RZP3bZ9F_png.rf.6c9dd2385c689d5e70eed40f7e2eda95.jpg,332,224,truck,63,63,283,211
a121525fd94f34e8_jpg.rf.6c6a181f3f307cc650e47e4bae9d3ded.jpg,1024,768,van,247,286,784,516
chrome_f0P5EXqZD3_png.rf.6db4f31dbe861c22640863299618cf03.jpg,386,257,truck,53,98,332,206
chrome_QApJIJ15Mh_png.rf.6d7e2ce41b4472f2234d9b6062f119c1.jpg,347,229,truck,41,55,319,172
d17f52f8feee96e5_jpg.rf.6d0d735fabd35b79a0911473bebc6083.jpg,1024,659,van,1,285,207,610
d9ecdf5d5ad6f6b3_jpg.rf.6e0637891757a43130016829342cd31e.jpg,1024,681,motorcycle,268,257,544,636
d9ecdf5d5ad6f6b3_jpg.rf.6e0637891757a43130016829342cd31e.jpg,1024,681,motorcycle,852,271,1024,617
f161e008efb2a430_jpg.rf.6bf0e8d9313db656416b3c6a4910a7c4.jpg,640,491,red_light,354,380,364,410
f161e008efb2a430_jpg.rf.6bf0e8d9313db656416b3c6a4910a7c4.jpg,640,491,red_light,428,393,439,422
f161e008efb2a430_jpg.rf.6bf0e8d9313db656416b3c6a4910a7c4.jpg,640,491,red_light,533,448,546,477
chrome_R4NUGwZUse_png.rf.6d70ad30126881a570da0b77d7f2feaf.jpg,355,245,green_light,177,33,230,182
chrome_3Ki3TC6GKF_png.rf.6c8969c3b574a40230c2d64119cec9d9.jpg,184,124,yellow_light,99,57,121,117
-152B35A7-2687-4126-B46B-5382319E7A3C-png_jpg.rf.6e54fe4c417aeda6acf4b6411612ba55.jpg,640,640,car,42,84,518,603
chrome_JQqaQoizTZ_png.rf.6d5c0fac37172ef54aba56531b79d4d8.jpg,366,240,bus,122,85,366,174
chrome_gho0RoUv0f_png.rf.6d818a85f056911512073b354a804602.jpg,357,238,truck,62,0,349,220
